epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1084.26,0.95483,0.55119,1.39864,0.80811,1,0.90002,0.53926,1.57109,0.83505,1.18398,0.0006536,0.0006536,0.0006536
104,1094.45,0.99964,0.61471,1.41008,0.8972,1,0.93547,0.56316,1.55189,0.80736,1.12222,0.0006404,0.0006404,0.0006404
105,1104.81,0.94421,0.57277,1.26764,0.82619,1,0.94512,0.55848,1.50968,0.93242,1.06697,0.0006272,0.0006272,0.0006272
106,1115.21,0.97592,0.601,1.38155,0.84303,1,0.9414,0.54267,1.55816,1.08477,1.11429,0.000614,0.000614,0.000614
107,1125.38,0.95161,0.54625,1.30697,0.87584,1,0.9375,0.51796,1.66595,0.83417,1.27301,0.0006008,0.0006008,0.0006008
108,1136.02,1.01425,0.58952,1.42421,0.83288,1,0.95525,0.52784,1.61823,0.727,1.21521,0.0005876,0.0005876,0.0005876
109,1146.72,0.9175,0.55968,1.33028,0.86334,1,0.97415,0.54963,1.6251,0.71307,1.20424,0.0005744,0.0005744,0.0005744
110,1157.38,1.02437,0.59068,1.39085,0.86402,1,0.97297,0.55223,1.62221,0.6862,1.19398,0.0005612,0.0005612,0.0005612
111,1167.83,0.96042,0.56512,1.30079,0.88456,1,0.9718,0.58769,1.50382,0.69701,1.06268,0.000548,0.000548,0.000548
112,1178.82,0.97519,0.60083,1.34501,0.87688,1,0.95294,0.55073,1.55863,0.77185,1.11457,0.0005348,0.0005348,0.0005348
113,1189.37,0.9363,0.56502,1.31929,0.92434,1,0.97476,0.55316,1.59758,0.79407,1.16259,0.0005216,0.0005216,0.0005216
114,1199.93,0.9295,0.5744,1.35757,0.88624,0.99881,0.95083,0.53788,1.57266,0.83635,1.13611,0.0005084,0.0005084,0.0005084
115,1210.89,0.84022,0.52223,1.29064,0.84908,0.97436,0.93731,0.53371,1.57952,0.79273,1.14034,0.0004952,0.0004952,0.0004952
116,1221.4,0.90205,0.54434,1.2981,0.86575,0.99224,0.93877,0.56582,1.51787,0.69984,1.07302,0.000482,0.000482,0.000482
117,1232.12,0.91457,0.54199,1.31759,0.87976,1,0.95379,0.55808,1.51987,0.71641,1.07993,0.0004688,0.0004688,0.0004688
118,1242.6,0.93206,0.55512,1.31744,0.89922,1,0.95122,0.52622,1.66782,0.72676,1.28234,0.0004556,0.0004556,0.0004556
119,1253.37,0.92263,0.54223,1.28548,0.8809,1,0.94297,0.5979,1.46935,0.71482,1.02199,0.0004424,0.0004424,0.0004424
120,1264.14,0.91279,0.53386,1.31958,0.94522,1,0.97731,0.5732,1.54463,0.7389,1.09736,0.0004292,0.0004292,0.0004292
121,1274.78,0.88977,0.53519,1.3013,0.9397,1,0.98004,0.56382,1.57999,0.80897,1.1555,0.000416,0.000416,0.000416
122,1285.55,0.87554,0.51206,1.29843,0.94727,1,0.98378,0.59106,1.51327,0.72936,1.07813,0.0004028,0.0004028,0.0004028
123,1295.92,0.87182,0.49337,1.30405,0.90154,1,0.95625,0.57802,1.50599,0.74962,1.06661,0.0003896,0.0003896,0.0003896
124,1306.24,0.89252,0.51397,1.29357,0.84442,1,0.92735,0.56564,1.51553,0.66519,1.08881,0.0003764,0.0003764,0.0003764
125,1316.61,0.86385,0.51144,1.22816,0.89056,1,0.96671,0.57061,1.5702,0.66645,1.15747,0.0003632,0.0003632,0.0003632
126,1327.16,0.93542,0.54222,1.26724,0.89495,1,0.97885,0.56959,1.58714,0.77571,1.16595,0.00035,0.00035,0.00035
127,1337.8,0.89271,0.50894,1.31072,0.82699,1,0.96245,0.56037,1.5788,0.88401,1.16147,0.0003368,0.0003368,0.0003368
128,1348.24,0.9623,0.5593,1.2839,0.8822,1,0.97327,0.56779,1.59343,0.80414,1.17582,0.0003236,0.0003236,0.0003236
129,1358.8,0.90587,0.51173,1.25728,0.90321,1,0.96689,0.56641,1.59293,0.74624,1.1774,0.0003104,0.0003104,0.0003104
130,1369.38,0.96951,0.56735,1.28985,0.96592,1,0.98675,0.59063,1.56042,0.67582,1.14965,0.0002972,0.0002972,0.0002972
131,1379.97,0.88508,0.52202,1.27673,0.89941,1,0.97445,0.57794,1.59076,0.73541,1.20758,0.000284,0.000284,0.000284
132,1390.56,0.85032,0.50062,1.32026,0.8959,1,0.97825,0.57906,1.56333,0.89737,1.15772,0.0002708,0.0002708,0.0002708
133,1401.08,0.84985,0.49752,1.29476,0.85131,1,0.95926,0.57784,1.53199,0.93985,1.10638,0.0002576,0.0002576,0.0002576
134,1411.98,0.90438,0.52212,1.26029,0.87301,1,0.94342,0.54434,1.59954,0.86528,1.19132,0.0002444,0.0002444,0.0002444
135,1422.37,0.83843,0.51369,1.27316,0.87752,1,0.96299,0.5651,1.55954,0.80132,1.14785,0.0002312,0.0002312,0.0002312
136,1432.88,0.86446,0.49809,1.26802,0.91433,1,0.97286,0.57189,1.54948,0.72737,1.1342,0.000218,0.000218,0.000218
137,1443.65,0.84877,0.48749,1.23182,0.92445,1,0.98342,0.56677,1.60374,0.73099,1.21454,0.0002048,0.0002048,0.0002048
138,1454.34,0.84007,0.46996,1.259,0.97123,1,0.9925,0.5683,1.58249,0.73733,1.18044,0.0001916,0.0001916,0.0001916
139,1464.93,0.85829,0.49904,1.2484,0.97064,1,0.9945,0.58595,1.54399,0.70369,1.12088,0.0001784,0.0001784,0.0001784
140,1475.36,0.8817,0.53441,1.2595,0.92701,0.97708,0.99155,0.59395,1.54257,0.76784,1.12288,0.0001652,0.0001652,0.0001652
141,1496.2,1.13394,0.50034,0.97513,0.97464,0.98547,0.99375,0.60249,1.58053,0.65158,1.19986,0.000152,0.000152,0.000152
142,1506.9,1.10832,0.48821,0.99488,0.9867,0.94872,0.99035,0.60862,1.55702,0.59673,1.17577,0.0001388,0.0001388,0.0001388
143,1517.65,1.16728,0.49871,0.99772,0.9283,0.99599,0.99155,0.60929,1.5333,0.57829,1.14479,0.0001256,0.0001256,0.0001256
144,1528.26,1.00797,0.44464,1.00686,0.9406,0.97436,0.99314,0.60688,1.52266,0.61576,1.12355,0.0001124,0.0001124,0.0001124
145,1538.74,1.13441,0.4773,0.98497,0.91078,0.97436,0.99068,0.62368,1.48681,0.6503,1.08149,9.92e-05,9.92e-05,9.92e-05
146,1549.26,1.1357,0.48022,1.00506,0.99162,1,0.995,0.62541,1.51062,0.58982,1.10872,8.6e-05,8.6e-05,8.6e-05
147,1559.98,1.08991,0.46611,0.9549,0.98171,1,0.995,0.62106,1.50471,0.56127,1.10864,7.28e-05,7.28e-05,7.28e-05
148,1570.5,1.05997,0.45826,0.93927,0.98098,1,0.995,0.6191,1.49046,0.54017,1.09827,5.96e-05,5.96e-05,5.96e-05
149,1580.96,1.07545,0.46674,0.96212,0.95112,1,0.995,0.62761,1.47496,0.54168,1.08092,4.64e-05,4.64e-05,4.64e-05
150,1591.59,1.13097,0.46482,0.94405,0.962,1,0.995,0.63217,1.47537,0.53133,1.08375,3.32e-05,3.32e-05,3.32e-05
